Transposible Element name_S2,Transposible Element name_S1,asdasdasd
TnYps3,TnYps3,
TnXorYNA12,TnXorYNA12,
TnXo19,TnXo19,
TnXO1,TnXO1,
TnXcTxp2,TnXcTxp2,
TnXca1,TnXca1,
TnXc5,TnXc5,
TnXc4,TnXc4,
TnXax1,TnXax1,
TnXaj417,TnXaj417,
TnTsp1,TnTsp1,
TnTin1,TnTin1,
TnThsp9,TnThsp9,
TnTF5,TnTF5,
TnSsu5,TnSsu5,
TnSs1,TnSs1,
TnSpu1,TnSpu1,
TnSod9,,
TnSmeSM11a-1,TnSmeSM11a-1,
TnSku1,TnSku1,
TnShfr1,TnShfr1,
TnShes11,TnShes11,
TnSgr,TnSgr,
TnSen1,TnSen1,
TnSba14,,
TnSau9,TnSau9,
TnpTB11,TnpTB11,
TnPsy42,TnPsy42,
TnPsy39,TnPsy39,
TnPsy30,TnPsy30,
TnpRSB105,,
TnpPGH1,TnpPGH1,
TnPMLUA4,TnPMLUA4,
TnpHS87a,,
TnPfu1,TnPfu1,
TnpFL424_ISPa,TnpFL424_ISPa,
TnpCTXM9,TnpCTXM9,
TnpABMCR4,TnpABMCR4,
TnPa43,TnPa43,
TnPa42,TnPa42,
TnPa40,TnPa40,
TnPa38,TnPa38,
TnOtChr,TnOtChr,
TnNpu13,TnNpu13,
TnMpo10,TnMpo10,
TnMex38,,
TnMex22,,
TnMERI1_p,TnMERI1_p,
TnMefl,TnMefl,
TnMCR5ECO26H11,TnMCR5ECO26H11,
TnLfArs,TnLfArs,
TnEcpKP37BE,TnEcpKP37BE,
TnEcO26,TnEcO26,
TnChe1,,
TnCfrpOZ172,TnCfrpOZ172,
TnBth4,TnBth4,
TnBth3,TnBth3,
TnBth2,TnBth2,
TnAtcArs,TnAtcArs,
TnAsz17,TnAsz17,
TnAs3,TnAs3,
TnAs2,TnAs2,
TnAs1,TnAs1,
TnArsp6,TnArsp6,
TnArs1,TnArs1,
TnAnox1,TnAnox1,
TnAmu1,TnAmu1,
TnAli20,TnAli20,
TnAfe8687,TnAfe8687,
TnAbMCR4,TnAbMCR4,
TnAau4,TnAau4,
Tn7Mmo,Tn7Mmo,
Tn7CVpa1,Tn7CVpa1,
Tn7CVna1,Tn7CVna1,
Tn7251,Tn7251,
Tn7250,,
Tn7249,Tn7249,
Tn7248,Tn7248,
Tn7247,Tn7247,
Tn7246,Tn7246,
Tn7245,Tn7245,
Tn7244,Tn7244,
Tn7243,Tn7243,
Tn7242,Tn7242,
Tn7241,Tn7241,
Tn7240,Tn7240,
Tn7239,Tn7239,
Tn7017,,
Tn7,Tn7,
Tn6924,Tn6924,
Tn6866,Tn6866,
Tn68232,Tn68232,
Tn6674,Tn6674,
Tn6644,Tn6644,
Tn6454,Tn6454,
Tn6375,Tn6375,
Tn6369,Tn6369,
Tn6352,,
Tn6346,Tn6346,
Tn6339,Tn6339,
Tn6332,Tn6332,
Tn6330,Tn6330,
Tn6294,Tn6294,
Tn6260,Tn6260,
Tn6246,Tn6246,
Tn6238,Tn6238,
Tn6203,Tn6203,
Tn6188,Tn6188,
Tn6138,,
Tn6137,,
Tn6136,Tn6136,
Tn6135,Tn6135,
Tn6134,Tn6134,
Tn6133,Tn6133,
Tn6122,Tn6122,
Tn6112,,
Tn6025,Tn6025,
Tn6010,Tn6010,
Tn6008,Tn6008,
Tn6007,Tn6007,
Tn6006,Tn6006,
Tn6005,Tn6005,
Tn6001_p,Tn6001_p,
Tn5720,Tn5720,
Tn5719,Tn5719,
Tn5718,Tn5718,
Tn559,Tn559,
Tn558,Tn558,
Tn5563a,Tn5563a,
Tn554Cad,Tn554Cad,
Tn5541,Tn5541,
Tn554,Tn554,
Tn551,Tn551,
Tn5504,Tn5504,
Tn5501,Tn5501,
Tn5469,Tn5469,
Tn5422,Tn5422,
Tn5406,Tn5406,
Tn5403a,,
Tn5403,,
Tn5401,Tn5401,
Tn5393c,Tn5393c,
Tn5393,Tn5393,
Tn512,Tn512,
Tn511,Tn511,
Tn5090,Tn5090,
Tn5086,Tn5086,
Tn5084,Tn5084,
Tn5070,Tn5070,
Tn5060,Tn5060,
Tn50580,Tn50580,
Tn5058,Tn5058,
Tn5053,Tn5053,
Tn5046,Tn5046,
Tn5045,Tn5045,
Tn5044,Tn5044,
Tn5041,Tn5041,
Tn5037,Tn5037,
Tn5036,Tn5036,
Tn502,Tn502,
Tn501,Tn501,
Tn4662a,Tn4662a,
Tn4661,Tn4661,
Tn4659,,
Tn4656,Tn4656,
Tn4652,Tn4652,
Tn4430,Tn4430,
Tn4401d,Tn4401d,
Tn4401b,Tn4401b,
